id,Happiness,SalaryPerMonthEmpMix,FeeFree,SalaryPerHour,SalaryPerMonth,JobPosition,Experience,HoursPerWeekEmp,HoursSpentFree,HoursPerDayMix,DaysPerMonthMix,Genre,VideoAudioTextFree,AnalogDigitalFree,MinPerAudioFree,MinPerVideoFree,CharPerArticleFree,Comment,Medium_id,Date,Suspiciousentry,Gegendarstellung
128,9,0,1305,46.6071428571429,7457.14285714286,"",5,0,28,0,0,Feature,text,Analog & Digital,0,0,8900,Eine der nettesten Redaktionen im Land.,70,2018-09-19 07:10:38.737766+00,Ok,
143,9,0,150,30,4800,"",3,0,5,0,0,Politik,text,Analog & Digital,0,0,3300,"",84,2018-09-19 08:37:55.886883+00,Ok,
144,6,0,450,37.5,6000,"",5,0,12,0,0,Reportage,text,,0,0,8000,Pauschalhonorar für eine Reisereportage inklusive mindestens zwei Fotos,85,2018-09-19 08:39:33.440963+00,Ok,
146,6,1000,0,20.8333333333333,3333.33333333333,"",3,0,0,8,6,None,keineAngabe,keineAngabe,0,0,0,"",88,2018-09-19 08:47:23.763383+00,Ok,
153,9,0,1500,62.5,10000,"",5,0,24,0,0,Reportage,text,Analog,0,0,12000,Super nette Redaktion! :),92,2018-09-19 08:52:01.056451+00,Ok,
159,4,0,300,12.5,2000,"",3,0,24,0,0,Politik,text,Digital,0,0,6000,"Die Recherche war sehr aufwendig. Zusätzlich musste ich den Text auf Englisch verfassen. Insgesamt ein Auftrag, der sich nicht gelohnt hat.",96,2018-09-19 09:03:58.636384+00,Ok,
161,8,0,400,9.87654320987654,1580.24691358025,"",3,0,40.5,0,0,Feuilleton,text,Analog,0,0,10000,"Hoher Zeitaufwand, allerdings für ein Thema, das mir am Herzen liegt. Netter Kontakt in der Redaktion.",98,2018-09-19 09:08:45.336309+00,Ok,
162,6,0,316,33.2631578947368,5322.1052631579,"",5,0,9.5,0,0,Kulturpolitik,audio,Analog & Digital,6,0,0,"Schlechte Abnahmesituation. Immer wechselnde Redakteure, die jeweils andere Vorstellungen haben. Häufig Verschlimmbesserungen. Mitunter wird kommentiert anstatt redigiert. Auftragsakquise ist aufwändig u. mit viel Recherche-Vorleistungen verbunden.  ",99,2018-09-19 09:11:08.092902+00,Ok,
174,6,0,50,25,4000,"",0,0,2,0,0,Kritik,text,Analog & Digital,0,0,3000,"Zusammenarbeit sehr ""basic"", im Guten wie im Schlechten. Keine Redigierung, dafür aber auch keine nervigen Korrekturrunden, verhunzte Texte etc. Abrechnung automatisch und korrekt.",105,2018-09-19 13:24:54.638559+00,Ok,
180,5,0,250,31.25,5000,"",5,0,8,0,0,"",text,Digital,0,0,5000,"",110,2018-09-21 09:38:14.758084+00,Ok,
182,5,0,220,44,7040,"",5,0,5,0,0,"",text,Analog,0,0,3000,"",112,2018-09-21 09:41:50.309602+00,Ok,
222,5,0,220,18.3333333333333,2933.33333333333,"",5,0,12,0,0,Bericht,audio,Analog & Digital,5,0,0,"Die direkte Zusammenarbeit mit festen oder freien Redakteuren auf Augenhöhe ist in der Regel gut, kollegial, angenehm, aber die Kommunikation mit oberen Hierarchieebenen ist oft eher unschön.",141,2018-10-01 12:45:34.250251+00,Ok,
227,6,0,500,11.9047619047619,1904.7619047619,"",0,0,42,0,0,Reportage,text,Analog & Digital,0,0,14000,"",94,2018-10-01 12:46:59.857795+00,Ok,
