id,mediumname,freeoremployed,UpDate,fairness,Suspiciousmedium
144,Frau im Leben,frei,2018-10-01 12:46:28.243714+00,"",Ok
123,Medium Magazin,frei,2018-09-29 12:10:02.769759+00,"",Ok
137,Die Welt,frei,2018-10-05 15:25:31.104286+00,"",Ok
66,manager-magazin.de,fest,2018-09-16 14:31:31.716442+00,"",Ok
68,Spiegel Geschichte,frei,2018-09-19 06:42:02.842783+00,"",Ok
69,Tempus Corporate,frei,2018-09-19 07:05:08.926477+00,"",Ok
71,NZZ folio,frei,2018-09-19 07:13:50.441104+00,"",Ok
158,Technology Review,frei,2018-10-01 18:32:42.243949+00,"",Ok
73,RND Redaktionsnetzwerk Deutschland,frei,2018-09-19 07:20:55.899162+00,"",Ok
74,Hohe Luft,frei,2018-09-19 08:02:49.988752+00,"",Ok
77,Christ und Welt ,frei,2018-09-19 08:19:59.394309+00,"",Ok
147,Stylepark,frei,2018-10-01 12:47:28.515299+00,"",Ok
117,Rhein-Neckar-Zeitung,frei,2018-10-05 19:26:02.231567+00,"",Ok
84,Offenburger Tageglatt,frei,2018-09-19 08:37:55.863641+00,"",Ok
82,Rheinpfalz,frei,2018-09-19 08:38:16.21769+00,"",Ok
85,Basler Zeitung,frei,2018-09-19 08:39:33.431037+00,"",Ok
87,Luxemburger Wort,frei,2018-09-19 08:41:09.828178+00,"",Ok
88,Frankfurter Allgemeine Sonntagszeitung,pauschal,2018-09-19 08:47:23.75079+00,"",Ok
148,Ruhr Nachrichten,frei,2018-10-01 12:48:04.998703+00,"",Ok
75,Geo Wissen,frei,2018-10-04 11:46:23.882796+00,,Ok
63,T3n Online,frei,2018-10-04 11:04:37.00973+00,,Ok
146,Der Tagesspiegel,pauschal,2018-10-01 12:47:18.305258+00,,Ok
126,Turi2 Online,pauschal,2018-09-30 17:23:41.893666+00,"",Ok
127,Neue Zürcher Zeitung,frei,2018-09-30 22:38:51.305603+00,"",Ok
93,Pforzheimer Zeitung,frei,2018-09-19 08:52:09.927038+00,"",Ok
150,Häuser,frei,2018-10-01 12:48:22.959598+00,"",Ok
130,Badische Zeitung,frei,2018-10-05 16:08:31.68375+00,"",Ok
96,EU Observer,frei,2018-09-19 09:03:58.604097+00,"",Ok
100,Schwäbische Zeitung,frei,2018-09-19 10:14:38.031183+00,"",Ok
131,Kontext-Wochenzeitung,frei,2018-09-30 22:50:36.93652+00,"",Ok
132,Forum-Wochenmagazin,frei,2018-09-30 22:51:48.348317+00,"",Ok
78,T3n,frei,2018-10-04 19:08:11.34867+00,"",Ok
133,c't magazin für computertechnik,fest,2018-10-01 12:38:48.204628+00,"",Ok
135,Badische Zeitung ,frei,2018-10-01 12:40:36.950786+00,"",Ok
172,taz,frei,2018-10-04 11:14:37.97221+00,"",Ok
157,Photovoltaik Magazin,frei,2018-10-01 12:52:03.593345+00,"",Ok
105,Frankfurter Rundschau,frei,2018-10-05 07:16:36.909768+00,"",Ok
102,Flechtwerk,frei,2018-09-19 10:52:00.899715+00,"",Ok
103,Science Notes,frei,2018-09-19 10:54:48.522778+00,"",Ok
134,enorm Magazin,frei,2018-10-01 12:40:04.563879+00,,Ok
113,ze.tt,frei,2018-10-05 20:15:54.160097+00,"",Ok
106,Radwelt,frei,2018-09-19 13:41:59.788455+00,"",Ok
107,Nido,frei,2018-09-21 09:33:10.264711+00,"",Ok
136,Good News,pauschal,2018-10-01 12:42:06.931206+00,"",Ok
108,Geo Wissen ,frei,2018-09-21 09:35:24.291965+00,"",Ok
109,Mein/4,frei,2018-09-21 09:37:13.865295+00,"",Ok
110,fluter ,frei,2018-09-21 09:38:14.752359+00,"",Ok
111,Goethe ,frei,2018-09-21 09:40:54.780062+00,"",Ok
112,kma,frei,2018-09-21 09:41:50.304626+00,"",Ok
119,RND,frei,2018-09-25 09:23:29.834953+00,"",Ok
120,Elixier,frei,2018-09-25 09:43:25.727493+00,"",Ok
121,Journal Frankfurt,frei,2018-09-26 07:32:19.995479+00,"",Ok
94,Frankfurter Allgemeine Sonntagszeitung,frei,2018-10-05 14:18:01.935165+00,"",Ok
139,Leipziger Volkszeitung,frei,2018-10-01 12:42:50.151377+00,"",Ok
168,Baby&Familie ,frei,2018-10-01 13:01:11.088742+00,"",Ok
140,Das Parlament,frei,2018-10-01 12:44:55.615144+00,"",Ok
79,Stuttgarter Zeitung,frei,2018-09-19 08:33:09.299174+00,,Ok
160,rbb Kulturradio,frei,2018-10-01 12:54:50.97057+00,"",Ok
161,Landeszeitung für die Lüneburger Heide,frei,2018-10-01 12:55:52.62053+00,"",Ok
95,Spektrum Online,frei,2018-10-04 08:29:35.843239+00,"",Ok
141,ARD Hörfunk,frei,2018-10-01 12:45:34.245098+00,"",Ok
142,Burda Zeitschrift Freundin,frei,2018-10-01 12:46:01.429057+00,"",Ok
143,Deutschlandfunk Kultur,pauschal,2018-10-01 12:46:24.932445+00,"",Ok
156,t-online.de,pauschal,2018-10-01 12:51:47.415734+00,"",Ok
163,Allgemeine Hotel- und Gastronomie Zeitung,frei,2018-10-01 12:56:48.557402+00,"",Ok
90,Die ZEIT,frei,2018-09-19 08:50:26.182141+00,,Ok
164,Taz am Wochenende ,frei,2018-10-01 12:57:05.654472+00,"",Ok
165,Bremen Fünf / NDR Info,frei,2018-10-01 12:58:15.342975+00,"",Ok
166,Publik-Forum,frei,2018-10-01 12:59:26.42618+00,"",Ok
159,Die deutsche Bühne,frei,2018-10-01 12:58:07.749494+00,"",Ok
92,P.M. Magazin,frei,2018-10-01 13:30:28.387511+00,"",Ok
70,Brand eins,frei,2018-10-01 13:20:59.020253+00,"",Ok
169,Chrismon,frei,2018-10-05 00:37:59.204185+00,"",Ok
89,DB mobil,frei,2018-09-19 08:49:37.842225+00,,Ok
83,Badische Neueste Nachrichten,frei,2018-10-01 18:20:24.551841+00,"",Ok
81,Die Tageszeitung,frei,2018-10-05 18:57:05.956563+00,,Ok
99,SWR2,frei,2018-10-05 21:07:05.620234+00,"",Ok
98,Frankfurter Allgemeine Zeitung,frei,2018-10-05 21:54:21.906324+00,"",Ok
149,Süddeutsche Zeitung,pauschal,2018-10-04 20:23:32.664253+00,"",Ok
154,Ideat,frei,2018-10-02 06:35:17.904923+00,"",Ok
145,Westdeutsche Allgemeine Zeitung,frei,2018-10-04 06:14:01.60877+00,"",Ok
64,Der Journalist,frei,2018-09-16 10:34:47.174144+00,,Ok
114,Dogs,frei,2018-09-21 13:16:39.371128+00,,Ok
62,Gründerszene Online,fest,2018-10-05 18:02:13.593203+00,,Ok
171,Barbara,frei,2018-10-04 11:39:40.521477+00,"",Ok
72,Geo,frei,2018-10-02 11:45:13.561369+00,,Ok
155,Fluter,frei,2018-10-04 19:19:26.503512+00,"",Ok
153,Ruhr Nachrichten,pauschal,2018-10-04 15:22:09.879339+00,"",Ok
86,Die Rheinpfalz,frei,2018-10-04 15:53:21.756238+00,"",Ok
167,Brigitte,frei,2018-10-04 20:56:30.606322+00,"",Ok
151,Mare,frei,2018-10-06 07:14:24.139252+00,"",Ok
97,Reportagen Magazin,frei,2018-09-19 09:05:07.142471+00,,Ok
91,BioHandel,frei,2018-09-19 08:51:46.448813+00,,Ok
122,Spex,frei,2018-10-06 08:54:49.137598+00,,Ok
124,Nordis Skandinavienmagazin,frei,2018-09-30 05:39:36.624748+00,,Ok
125,Nordis Skandinavienmagazin,frei,2018-09-30 06:03:24.295051+00,,Ok
138,Neues Deutschland,frei,2018-10-04 09:21:15.258268+00,,Ok
129,Vivanty,frei,2018-09-30 22:45:43.37161+00,,Ok
170,Die ZEIT,frei,2018-10-01 13:01:39.965214+00,,Ok
104,Deutsche Universitätszeitung,frei,2018-10-05 20:59:58.007664+00,"",Ok
80,Zeit Online,frei,2018-10-06 19:05:26.689378+00,,Ok
255,Slow,frei,2018-10-03 19:13:44.828962+00,"",Ok
173,mare,frei,2018-10-01 13:03:10.895356+00,"",Ok
174,ELTERN Magazin,frei,2018-10-01 13:04:03.273475+00,"",Ok
